,F1,F2,F3,F4,X,Y,TARGET,C1,C2,C3,C4
0,90.0,14.0,4.0,9.0,-155,160,1001,0.0,1.0,1.0,1.0
1,86.0,21.0,16.0,7.0,-148,158,1001,0.0,1.0,1.0,1.0
2,89.0,21.0,25.0,8.0,-147,152,1001,0.0,1.0,1.0,1.0
3,79.0,25.0,19.0,13.0,-148,153,1001,0.0,1.0,1.0,1.0
4,91.0,25.0,17.0,16.0,-146,151,1001,0.0,1.0,1.0,1.0
5,93.0,28.0,14.0,15.0,-147,151,1001,0.0,1.0,1.0,1.0
6,100.0,32.0,22.0,16.0,-143,146,1001,0.0,1.0,1.0,1.0
7,100.0,25.0,19.0,12.0,-139,146,1001,0.0,1.0,1.0,1.0
8,97.0,28.0,17.0,10.0,-143,153,1001,0.0,1.0,1.0,1.0
9,84.0,25.0,17.0,5.0,-124,148,1001,0.0,1.0,1.0,1.0
10,99.0,25.0,14.0,14.0,-146,149,1001,0.0,1.0,1.0,1.0
11,92.0,28.0,11.0,18.0,-140,143,1001,0.0,1.0,1.0,1.0
12,100.0,28.0,16.0,16.0,-144,145,1001,0.0,1.0,1.0,1.0
13,80.0,25.0,19.0,15.0,-153,155,1001,0.0,1.0,1.0,1.0
14,97.0,28.0,19.0,14.0,-155,159,1001,0.0,1.0,1.0,1.0
15,96.0,25.0,12.0,13.0,-145,152,1001,0.0,1.0,1.0,1.0
16,72.0,25.0,16.0,14.0,-154,158,1001,0.0,1.0,1.0,1.0
17,76.0,28.0,8.0,14.0,-149,150,1001,0.0,1.0,1.0,1.0
18,75.0,25.0,6.0,16.0,-149,154,1001,0.0,1.0,1.0,1.0
19,85.0,25.0,11.0,17.0,-151,154,1001,0.0,1.0,1.0,1.0
20,92.0,28.0,12.0,10.0,-152,163,1001,0.0,1.0,1.0,1.0
21,76.0,25.0,14.0,18.0,-143,143,1001,0.0,1.0,1.0,1.0
22,88.0,25.0,8.0,14.0,-148,152,1001,0.0,1.0,1.0,1.0
23,80.0,25.0,16.0,18.0,-152,151,1001,0.0,1.0,1.0,1.0
24,82.0,25.0,12.0,10.0,-145,153,1001,0.0,1.0,1.0,1.0
25,88.0,17.0,12.0,10.0,-139,153,1001,0.0,1.0,1.0,1.0
26,89.0,21.0,11.0,12.0,-154,159,1001,0.0,1.0,1.0,1.0
27,79.0,25.0,16.0,17.0,-161,161,1001,0.0,1.0,1.0,1.0
28,80.0,25.0,8.0,14.0,-161,165,1001,0.0,1.0,1.0,1.0
29,91.0,21.0,9.0,14.0,-157,160,1001,0.0,1.0,1.0,1.0
30,84.0,25.0,19.0,10.0,-157,158,1001,0.0,1.0,1.0,1.0
31,85.0,21.0,19.0,8.0,-152,157,1001,0.0,1.0,1.0,1.0
32,82.0,28.0,17.0,8.0,-140,153,1001,0.0,1.0,1.0,1.0
33,79.0,21.0,12.0,13.0,-157,157,1001,0.0,1.0,1.0,1.0
34,79.0,17.0,14.0,10.0,-158,159,1001,0.0,1.0,1.0,1.0
35,80.0,17.0,19.0,16.0,-155,155,1001,0.0,1.0,1.0,1.0
36,83.0,21.0,16.0,14.0,-153,153,1001,0.0,1.0,1.0,1.0
37,91.0,25.0,0.0625,12.0,-154,152,1001,0.0,1.0,1.0,1.0
38,84.0,28.0,11.0,16.0,-158,154,1001,0.0,1.0,1.0,1.0
39,79.0,28.0,2.27e-13,12.0,-151,151,1001,0.0,1.0,1.0,1.0
40,86.0,17.0,0.5,8.0,-123,149,1001,0.0,1.0,1.0,1.0
41,87.0,28.0,8.0,12.0,-146,148,1001,0.0,1.0,1.0,1.0
42,88.0,21.0,3.0,9.0,-140,158,1001,0.0,1.0,1.0,1.0
43,98.0,25.0,11.0,15.0,-159,159,1001,0.0,1.0,1.0,1.0
44,95.0,25.0,8.0,14.0,-154,154,1001,0.0,1.0,1.0,1.0
45,76.0,28.0,14.0,17.0,-155,155,1001,0.0,1.0,1.0,1.0
46,81.0,28.0,11.0,16.0,-157,154,1001,0.0,1.0,1.0,1.0
47,80.0,25.0,4.0,14.0,-162,159,1001,0.0,1.0,1.0,1.0
48,75.0,28.0,9.0,14.0,-152,156,1001,0.0,1.0,1.0,1.0
49,84.0,25.0,3.0,15.0,-157,159,1001,0.0,1.0,1.0,1.0
50,85.0,32.0,11.0,18.0,-157,153,1001,0.0,1.0,1.0,1.0
51,81.0,21.0,14.0,12.0,-149,154,1001,0.0,1.0,1.0,1.0
52,92.0,28.0,16.0,14.0,-150,152,1001,0.0,1.0,1.0,1.0
53,85.0,25.0,14.0,17.0,-149,151,1001,0.0,1.0,1.0,1.0
54,83.0,17.0,11.0,8.0,-130,148,1001,0.0,1.0,1.0,1.0
55,84.0,25.0,8.0,10.0,-136,147,1001,0.0,1.0,1.0,1.0
56,79.0,25.0,16.0,15.0,-146,147,1001,0.0,1.0,1.0,1.0
57,82.0,28.0,17.0,16.0,-153,150,1001,0.0,1.0,1.0,1.0
58,84.0,25.0,3.0,15.0,-153,151,1001,0.0,1.0,1.0,1.0
59,84.0,21.0,11.0,12.0,-144,148,1001,0.0,1.0,1.0,1.0
60,82.0,28.0,14.0,12.0,-143,148,1001,0.0,1.0,1.0,1.0
61,79.0,25.0,16.0,18.0,-147,146,1001,0.0,1.0,1.0,1.0
62,89.0,21.0,19.0,19.0,-148,149,1001,0.0,1.0,1.0,1.0
63,85.0,25.0,14.0,15.0,-145,148,1001,0.0,1.0,1.0,1.0
64,82.0,21.0,17.0,14.0,-147,149,1001,0.0,1.0,1.0,1.0
65,89.0,25.0,14.0,13.0,-152,150,1001,0.0,1.0,1.0,1.0
66,84.0,25.0,17.0,15.0,-148,149,1001,0.0,1.0,1.0,1.0
67,90.0,17.0,11.0,5.0,-132,148,1001,0.0,1.0,1.0,1.0
68,76.0,21.0,16.0,10.0,-148,154,1001,0.0,1.0,1.0,1.0
69,89.0,17.0,19.0,12.0,-149,155,1001,0.0,1.0,1.0,1.0
70,94.0,25.0,12.0,12.0,-135,149,1001,0.0,1.0,1.0,1.0
71,100.0,21.0,11.0,11.0,-142,152,1001,0.0,1.0,1.0,1.0
72,87.0,21.0,14.0,16.0,-134,144,1001,0.0,1.0,1.0,1.0
73,81.0,21.0,16.0,8.0,-136,152,1001,0.0,1.0,1.0,1.0
74,77.0,17.0,17.0,11.0,-141,151,1001,0.0,1.0,1.0,1.0
75,81.0,21.0,11.0,12.0,-142,153,1001,0.0,1.0,1.0,1.0
76,77.0,25.0,17.0,14.0,-150,153,1001,0.0,1.0,1.0,1.0
77,85.0,21.0,12.0,20.0,-152,163,1001,0.0,1.0,1.0,1.0
78,83.0,25.0,11.0,15.0,-157,163,1001,0.0,1.0,1.0,1.0
79,75.0,21.0,14.0,17.0,-158,162,1001,0.0,1.0,1.0,1.0
80,76.0,21.0,17.0,14.0,-156,163,1001,0.0,1.0,1.0,1.0
81,89.0,21.0,19.0,17.0,-156,158,1001,0.0,1.0,1.0,1.0
82,80.0,21.0,14.0,17.0,-159,165,1001,0.0,1.0,1.0,1.0
83,74.0,17.0,19.0,18.0,-159,168,1001,0.0,1.0,1.0,1.0
84,82.0,14.0,9.0,9.0,-150,152,1001,0.0,1.0,1.0,1.0
85,79.0,21.0,14.0,12.0,-148,152,1001,0.0,1.0,1.0,1.0
86,86.0,21.0,16.0,17.0,-148,148,1001,0.0,1.0,1.0,1.0
87,75.0,21.0,19.0,13.0,-143,146,1001,0.0,1.0,1.0,1.0
88,80.0,25.0,14.0,12.0,-153,162,1001,0.0,1.0,1.0,1.0
89,100.0,17.0,4.0,8.0,-149,164,1001,0.0,1.0,1.0,1.0
90,72.0,28.0,9.0,11.0,-154,160,1001,0.0,1.0,1.0,1.0
91,76.0,25.0,4.0,10.0,-150,160,1001,0.0,1.0,1.0,1.0
92,87.0,32.0,14.0,10.0,-14,124,1001,0.0,1.0,1.0,1.0
93,74.0,25.0,20.0,19.0,-155,159,1001,0.0,1.0,1.0,1.0
94,100.0,25.0,17.0,21.0,-153,155,1001,0.0,1.0,1.0,1.0
95,75.0,25.0,14.0,18.0,-151,152,1001,0.0,1.0,1.0,1.0
96,87.0,25.0,16.0,15.0,-149,151,1001,0.0,1.0,1.0,1.0
97,92.0,21.0,16.0,13.0,-150,155,1001,0.0,1.0,1.0,1.0
98,92.0,21.0,14.0,10.0,-131,150,1001,0.0,1.0,1.0,1.0
