F1,F2,F3,F4,X,Y,TARGET,C1,C2,C3,C4
36,18,14,11,-161,94,1001,0,1,1,1
40,21,18,10,-150,-134,1001,0,1,1,1
69,3,16,7,-149,-116,1001,0,1,1,1
58,6,14,14,-155,170,1001,0,1,1,1
76,3,13,18,-157,-5,1001,0,1,1,1
73,6,20,12,-155,173,1001,0,1,1,1
73,0.1875,22,14,-164,172,1001,0,1,1,1
83,6,22,16,-157,167,1001,0,1,1,1
59,6,20,14,-157,174,1001,0,1,1,1
84,12,27,25,-164,168,1001,0,1,1,1
75,12,23,16,-147,161,1001,0,1,1,1
66,12,23,14,-148,157,1001,0,1,1,1
68,9,19,10,-157,172,1001,0,1,1,1
62,15,28,11,-144,153,1001,0,1,1,1
75,18,24,13,-149,161,1001,0,1,1,1
66,18,25,15,-158,163,1001,0,1,1,1
61,21,24,16,-158,164,1001,0,1,1,1
77,21,25,13,-152,157,1001,0,1,1,1
68,21,25,12,-148,156,1001,0,1,1,1
31,15,24,9,-156,175,1001,0,1,1,1
25,30,23,12,-151,168,1001,0,1,1,1
34,30,24,11,-156,175,1001,0,1,1,1
73,15,20,13,-161,172,1001,0,1,1,1
69,12,22,12,-165,163,1001,0,1,1,1
61,18,27,16,-159,161,1001,0,1,1,1
83,18,24,17,-163,164,1001,0,1,1,1
76,18,23,15,-161,168,1001,0,1,1,1
80,15,25,21,-166,174,1001,0,1,1,1
59,12,22,10,-150,174,1001,0,1,1,1
75,12,20,14,-147,164,1001,0,1,1,1
73,18,24,16,-159,165,1001,0,1,1,1
80,18,23,15,-160,172,1001,0,1,1,1
80,12,20,11,-139,170,1001,0,1,1,1
76,21,23,13,-165,-63,1001,0,1,1,1
70,21,28,16,-164,-108,1001,0,1,1,1
69,15,20,12,-156,175,1001,0,1,1,1
65,21,23,16,-162,94,1001,0,1,1,1
59,15,22,12,-154,170,1001,0,1,1,1
79,15,22,18,-158,-71,1001,0,1,1,1
68,12,22,19,-160,-126,1001,0,1,1,1
69,18,20,13,-148,135,1001,0,1,1,1
44,15,22,12,-132,161,1001,0,1,1,1
47,12,17,19,-150,169,1001,0,1,1,1
30,9,16,15,-147,149,1001,0,1,1,1
40,12,20,13,-153,5,1001,0,1,1,1
36,12,19,11,-148,161,1001,0,1,1,1
45,12,22,15,-148,138,1001,0,1,1,1
41,9,18,13,-156,-48,1001,0,1,1,1
41,15,22,10,-144,174,1001,0,1,1,1
45,15,20,14,-133,164,1001,0,1,1,1
47,15,23,19,-165,-121,1001,0,1,1,1
55,15,18,20,-155,9,1001,0,1,1,1
47,12,19,17,-156,171,1001,0,1,1,1
40,12,18,17,-159,75,1001,0,1,1,1
56,12,20,15,-151,171,1001,0,1,1,1
66,18,20,14,-153,127,1001,0,1,1,1
73,18,22,18,-152,169,1001,0,1,1,1
75,21,23,14,-151,69,1001,0,1,1,1
65,18,23,19,-162,51,1001,0,1,1,1
81,21,20,17,-160,165,1001,0,1,1,1
84,18,18,19,-155,168,1001,0,1,1,1
73,18,25,19,-161,167,1001,0,1,1,1
76,18,23,13,-140,163,1001,0,1,1,1
76,15,19,10,-125,152,1001,0,1,1,1
79,18,19,20,-155,175,1001,0,1,1,1
84,24,23,20,-156,165,1001,0,1,1,1
63,24,22,23,-161,7,1001,0,1,1,1
51,15,23,13,-157,24,1001,0,1,1,1
29,12,22,21,-158,156,1001,0,1,1,1
65,24,25,14,-78,167,1001,0,1,1,1
50,24,25,20,-156,165,1001,0,1,1,1
66,21,28,13,-153,55,1001,0,1,1,1
61,24,30,21,-163,175,1001,0,1,1,1
38,21,30,14,-151,172,1001,0,1,1,1
61,21,27,15,-154,169,1001,0,1,1,1
58,21,27,15,-152,164,1001,0,1,1,1
77,27,33,20,-153,138,1001,0,1,1,1
76,30,33,23,-151,100,1001,0,1,1,1
80,24,14,23,-148,147,1001,0,1,1,1
69,27,22,20,-157,166,1001,0,1,1,1
80,18,16,13,-155,130,1001,0,1,1,1
62,15,17,17,-153,170,1001,0,1,1,1
72,24,23,21,-160,155,1001,0,1,1,1
77,21,19,13,-153,167,1001,0,1,1,1
66,27,22,15,-157,160,1001,0,1,1,1
65,21,22,16,-163,13,1001,0,1,1,1
68,24,23,17,-166,175,1001,0,1,1,1
63,24,25,21,-163,172,1001,0,1,1,1
59,24,28,18,-163,166,1001,0,1,1,1
77,15,20,17,-151,95,1001,0,1,1,1
75,27,32,22,65,-18,1001,0,1,1,1
63,21,29,18,-127,164,1001,0,1,1,1
56,12,23,15,-145,168,1001,0,1,1,1
66,15,20,16,-148,164,1001,0,1,1,1
84,24,32,23,-161,-116,1001,0,1,1,1
79,21,29,17,-156,172,1001,0,1,1,1
72,24,29,18,-156,165,1001,0,1,1,1
77,30,28,17,-159,160,1001,0,1,1,1
75,12,29,25,-164,131,1001,0,1,1,1
72,24,29,23,-146,169,1001,0,1,1,1
70,24,30,26,-156,171,1001,0,1,1,1
72,24,32,23,-159,164,1001,0,1,1,1
83,27,27,33,-155,170,1001,0,1,1,1
76,27,28,21,-162,157,1001,0,1,1,1
73,24,25,16,-148,166,1001,0,1,1,1
75,24,29,20,-164,-122,1001,0,1,1,1
76,30,30,19,-154,159,1001,0,1,1,1
80,27,30,24,-168,169,1001,0,1,1,1
77,24,30,22,-164,177,1001,0,1,1,1
52,27,29,19,-158,89,1001,0,1,1,1
52,24,33,19,-169,175,1001,0,1,1,1
73,24,32,26,-148,94,1001,0,1,1,1
73,18,24,17,-138,158,1001,0,1,1,1
83,18,29,20,-160,29,1001,0,1,1,1
79,24,30,18,-158,171,1001,0,1,1,1
48,21,28,20,-163,-71,1001,0,1,1,1
75,12,30,20,-160,172,1001,0,1,1,1
77,18,29,28,-163,1,1001,0,1,1,1
69,9,29,22,-167,111,1001,0,1,1,1
62,18,28,19,-162,114,1001,0,1,1,1
48,24,34,27,-166,-122,1001,0,1,1,1
75,21,33,26,-166,176,1001,0,1,1,1
68,18,32,20,-168,126,1001,0,1,1,1
84,18,33,20,-166,-84,1001,0,1,1,1
81,15,29,17,-112,45,1001,0,1,1,1
37,30,34,22,-164,-138,1001,0,1,1,1
69,18,33,25,-158,-121,1001,0,1,1,1
65,21,30,21,159,-102,1001,0,1,1,1
83,15,28,20,-161,-87,1001,0,1,1,1
81,24,33,25,-164,175,1001,0,1,1,1
62,21,25,20,-175,-133,1001,0,1,1,1
75,18,32,29,-172,-135,1001,0,1,1,1
83,18,30,23,-162,40,1001,0,1,1,1
77,27,30,26,171,165,1001,0,1,1,1
52,21,28,24,168,176,1001,0,1,1,1
63,15,27,25,171,172,1001,0,1,1,1
58,15,25,23,171,-158,1001,0,1,1,1
72,24,34,28,170,-41,1001,0,1,1,1
62,15,32,25,146,-100,1001,0,1,1,1
58,21,30,24,23,145,1001,0,1,1,1
70,15,32,25,164,149,1001,0,1,1,1
56,18,29,28,-73,11,1001,0,1,1,1
79,9,30,24,-134,-44,1001,0,1,1,1
40,15,28,19,138,-109,1001,0,1,1,1
68,6,34,26,-163,-147,1001,0,1,1,1
83,21,29,28,-136,146,1001,0,1,1,1
80,24,34,30,-10,99,1001,0,1,1,1
79,18,32,33,141,101,1001,0,1,1,1
62,12,33,27,-170,-107,1001,0,1,1,1
75,12,34,29,-78,171,1001,0,1,1,1
75,15,23,22,-88,169,1001,0,1,1,1
58,3,34,31,-167,169,1001,0,1,1,1
59,18,11,19,-140,7,1001,0,1,1,1
73,18,18,27,-160,114,1001,0,1,1,1
73,12,23,25,-149,-113,1001,0,1,1,1
81,21,33,32,156,160,1001,0,1,1,1
62,18,30,27,167,172,1001,0,1,1,1
54,9,27,30,173,72,1001,0,1,1,1
81,12,33,29,101,167,1001,0,1,1,1
68,21,30,32,118,162,1001,0,1,1,1
29,100,100,100,0,0,1002,0,1,1,0
74,100,100,100,0,0,1002,0,1,1,0
80,100,100,100,0,0,1002,0,1,1,0
77,100,100,100,0,0,1002,0,1,1,0
74,100,100,100,0,0,1002,0,1,1,0
77,100,100,100,0,0,1002,0,1,1,0
45,100,100,100,0,0,1002,0,1,1,0
38,100,100,100,0,0,1002,0,1,1,0
70,100,99,100,0,0,1002,0,1,1,0
80,100,100,100,0,0,1002,0,1,1,0
77,100,100,100,0,0,1002,0,1,1,0
70,100,96,100,0,0,1002,0,1,1,0
77,100,100,100,0,0,1002,0,1,1,0
90,100,100,100,0,0,1002,0,1,1,0
90,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
70,100,100,100,0,0,1002,0,1,1,0
80,100,100,100,0,0,1002,0,1,1,0
61,100,99,100,0,0,1002,0,1,1,0
58,100,96,100,0,0,1002,0,1,1,0
54,100,99,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
67,100,100,100,0,0,1002,0,1,1,0
67,100,100,100,0,0,1002,0,1,1,0
70,100,100,100,0,0,1002,0,1,1,0
51,100,100,100,0,0,1002,0,1,1,0
77,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
51,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
51,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
100,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
100,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
100,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
100,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
61,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
58,100,100,100,0,0,1002,0,1,1,0
64,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
54,100,100,100,0,0,1002,0,1,1,0
