,F1,F2,F3,F4,X,Y,TARGET,C1,C2,C3,C4
0,100.0,8.0,2.0,2.0,-142,-143,1001,0.0,1.0,1.0,1.0
1,100.0,4.0,2.0,1.29e-26,-136,-136,1001,0.0,1.0,1.0,1.0
2,100.0,4.0,2.0,7.75e-26,-139,-139,1001,0.0,1.0,1.0,1.0
3,100.0,4.0,2.0,2.0,-135,-133,1001,0.0,1.0,1.0,1.0
4,100.0,8.0,2.0,5.0,-143,-145,1001,0.0,1.0,1.0,1.0
5,100.0,8.0,2.0,5.0,-148,-155,1001,0.0,1.0,1.0,1.0
6,100.0,8.0,2.0,1.0,-147,-152,1001,0.0,1.0,1.0,1.0
7,100.0,8.0,2.0,2.0,-147,-147,1001,0.0,1.0,1.0,1.0
8,100.0,4.0,2.0,2.0,-149,-152,1001,0.0,1.0,1.0,1.0
9,100.0,8.0,2.0,2.0,-147,-147,1001,0.0,1.0,1.0,1.0
10,100.0,4.0,3.0,2.0,-148,-148,1001,0.0,1.0,1.0,1.0
11,100.0,4.0,3.0,5.0,-148,-150,1001,0.0,1.0,1.0,1.0
12,100.0,4.0,2.0,2.0,-143,-143,1001,0.0,1.0,1.0,1.0
13,100.0,4.0,4.0,2.0,-143,-142,1001,0.0,1.0,1.0,1.0
14,100.0,4.0,2.0,4.0,-139,-141,1001,0.0,1.0,1.0,1.0
15,100.0,8.0,3.0,5.0,-150,-154,1001,0.0,1.0,1.0,1.0
16,100.0,8.0,4.0,5.0,-138,-138,1001,0.0,1.0,1.0,1.0
17,100.0,8.0,2.0,4.0,-146,-151,1001,0.0,1.0,1.0,1.0
18,100.0,12.0,4.0,3.1e-25,-144,-143,1001,0.0,1.0,1.0,1.0
19,100.0,4.0,2.0,1.02e-20,-144,-143,1001,0.0,1.0,1.0,1.0
20,100.0,8.0,4.0,4.0,-149,-153,1001,0.0,1.0,1.0,1.0
21,100.0,4.0,4.0,2.0,-144,-145,1001,0.0,1.0,1.0,1.0
22,100.0,4.0,4.0,2.0,-145,-146,1001,0.0,1.0,1.0,1.0
23,100.0,8.0,4.0,2.0,-142,-142,1001,0.0,1.0,1.0,1.0
24,100.0,8.0,3.0,5.0,-148,-153,1001,0.0,1.0,1.0,1.0
25,100.0,8.0,2.0,5.0,-146,-147,1001,0.0,1.0,1.0,1.0
26,100.0,8.0,3.0,5.0,-146,-150,1001,0.0,1.0,1.0,1.0
27,100.0,8.0,3.0,3.0,-147,-150,1001,0.0,1.0,1.0,1.0
28,100.0,8.0,3.0,4.0,-147,-149,1001,0.0,1.0,1.0,1.0
29,100.0,8.0,3.0,2.0,-148,-148,1001,0.0,1.0,1.0,1.0
30,100.0,8.0,2.0,5.0,-139,-140,1001,0.0,1.0,1.0,1.0
31,100.0,8.0,4.0,1.29e-26,-142,-145,1001,0.0,1.0,1.0,1.0
32,100.0,8.0,3.0,1.0,-140,-140,1001,0.0,1.0,1.0,1.0
33,100.0,8.0,3.0,5.0,-146,-149,1001,0.0,1.0,1.0,1.0
34,100.0,8.0,2.0,1.0,-142,-143,1001,0.0,1.0,1.0,1.0
35,100.0,8.0,3.0,1.78e-15,-150,-152,1001,0.0,1.0,1.0,1.0
36,100.0,8.0,2.0,2.0,-147,-153,1001,0.0,1.0,1.0,1.0
37,100.0,8.0,3.0,4.0,-147,-150,1001,0.0,1.0,1.0,1.0
38,100.0,8.0,3.0,4.1399999999999986e-24,-150,-156,1001,0.0,1.0,1.0,1.0
39,100.0,8.0,3.0,3.0,-151,-159,1001,0.0,1.0,1.0,1.0
40,100.0,8.0,3.0,6.0,-150,-157,1001,0.0,1.0,1.0,1.0
41,100.0,8.0,2.0,5.0,-150,-153,1001,0.0,1.0,1.0,1.0
42,100.0,8.0,3.0,2.0,-151,-152,1001,0.0,1.0,1.0,1.0
43,100.0,12.0,2.0,3.0,-153,-153,1001,0.0,1.0,1.0,1.0
44,100.0,8.0,2.0,2.0,-153,-153,1001,0.0,1.0,1.0,1.0
45,100.0,8.0,2.0,2.84e-14,-155,-157,1001,0.0,1.0,1.0,1.0
46,100.0,8.0,4.0,5.0,-152,-155,1001,0.0,1.0,1.0,1.0
47,100.0,8.0,3.0,7.0,-153,-162,1001,0.0,1.0,1.0,1.0
48,100.0,8.0,3.0,1.11e-16,-153,-160,1001,0.0,1.0,1.0,1.0
49,100.0,8.0,4.0,2.0,-148,-150,1001,0.0,1.0,1.0,1.0
50,100.0,4.0,2.0,5.0,-153,-158,1001,0.0,1.0,1.0,1.0
51,100.0,8.0,2.0,7.109999999999998e-15,-147,-146,1001,0.0,1.0,1.0,1.0
52,100.0,8.0,2.0,6.779999999999999e-21,-146,-145,1001,0.0,1.0,1.0,1.0
53,100.0,8.0,3.0,3.0,-150,-157,1001,0.0,1.0,1.0,1.0
54,100.0,8.0,3.0,1.0,-150,-155,1001,0.0,1.0,1.0,1.0
55,100.0,8.0,3.0,4.0,-149,-152,1001,0.0,1.0,1.0,1.0
56,100.0,8.0,4.0,8.88e-16,-151,-157,1001,0.0,1.0,1.0,1.0
57,100.0,8.0,4.0,5.0,-149,-151,1001,0.0,1.0,1.0,1.0
58,8.38e-09,8.0,3.0,2.0,-152,-157,1001,0.0,1.0,1.0,1.0
59,100.0,8.0,3.0,4.0,-150,-154,1001,0.0,1.0,1.0,1.0
60,100.0,12.0,4.0,2.0,-147,-155,1001,0.0,1.0,1.0,1.0
61,100.0,8.0,4.0,1.11e-16,-149,-158,1001,0.0,1.0,1.0,1.0
62,100.0,12.0,6.0,3.0,-150,-160,1001,0.0,1.0,1.0,1.0
63,100.0,8.0,4.0,1.1400000000000002e-13,-146,-146,1001,0.0,1.0,1.0,1.0
64,100.0,8.0,2.0,3.64e-12,-145,-148,1001,0.0,1.0,1.0,1.0
65,100.0,8.0,3.0,7.109999999999998e-15,-139,-142,1001,0.0,1.0,1.0,1.0
66,81.0,8.0,3.0,6.62e-24,-144,-152,1001,0.0,1.0,1.0,1.0
67,100.0,8.0,3.0,1.16e-10,-146,-151,1001,0.0,1.0,1.0,1.0
68,100.0,8.0,3.0,2.0,-149,-161,1001,0.0,1.0,1.0,1.0
69,12.5,8.0,3.0,2.0,-148,-155,1001,0.0,1.0,1.0,1.0
70,9.0,8.0,5.0,2.78e-17,-149,-167,1001,0.0,1.0,1.0,1.0
71,100.0,8.0,4.0,5.0,-148,-165,1001,0.0,1.0,1.0,1.0
72,100.0,8.0,4.0,10.0,-146,175,1001,0.0,1.0,1.0,1.0
73,100.0,8.0,5.0,2.0,-147,-169,1001,0.0,1.0,1.0,1.0
74,100.0,8.0,4.0,8.0,-148,21,1001,0.0,1.0,1.0,1.0
75,100.0,8.0,4.0,7.0,-147,-158,1001,0.0,1.0,1.0,1.0
76,9.0,8.0,3.0,6.0,-150,-163,1001,0.0,1.0,1.0,1.0
77,45.0,4.0,2.0,0.000488281,-150,-157,1001,0.0,1.0,1.0,1.0
78,100.0,12.0,2.0,2.0,-150,7,1001,0.0,1.0,1.0,1.0
79,100.0,4.0,2.0,2.0,-148,-170,1001,0.0,1.0,1.0,1.0
80,100.0,4.0,3.0,4.0,-150,167,1001,0.0,1.0,1.0,1.0
81,100.0,8.0,4.0,5.0,-154,2,1001,0.0,1.0,1.0,1.0
82,100.0,2.0,3.0,2.71e-20,-154,-158,1001,0.0,1.0,1.0,1.0
83,100.0,4.0,3.0,1.16e-23,-153,-162,1001,0.0,1.0,1.0,1.0
84,100.0,4.0,2.0,8.27e-24,-149,-164,1001,0.0,1.0,1.0,1.0
85,100.0,4.0,5.0,3.0,-151,-156,1001,0.0,1.0,1.0,1.0
86,100.0,8.0,4.0,1.24e-24,-149,-155,1001,0.0,1.0,1.0,1.0
87,100.0,4.0,4.0,2.0,-151,-164,1001,0.0,1.0,1.0,1.0
88,100.0,8.0,7.0,2.0,-148,-154,1001,0.0,1.0,1.0,1.0
