F1,F2,F3,F4,TARGET,X,Y
50,16,14,30,4,9,96
64,28,44,50,4,6,94
46,20,2,35,4,13,96
58,24,34,39,4,19,90
42,24,18,47,4,21,65
63,28,58,36,4,8,91
52,24,60,33,4,10,82
42,28,34,49,4,10,83
67,28,62,50,4,10,79
42,24,38,36,4,11,85
58,28,48,36,4,8,77
56,28,50,37,4,8,70
57,28,46,40,4,11,77
64,32,56,49,4,7,84
56,28,54,30,4,9,84
60,32,44,41,4,11,78
64,28,50,41,4,7,80
67,28,52,52,4,19,67
65,28,8,56,4,25,75
53,28,52,41,4,9,92
46,24,42,43,4,10,84
58,20,46,34,4,9,85
50,24,42,40,4,19,68
67,28,56,38,4,22,69
46,32,76,44,4,17,69
56,36,68,49,4,19,70
63,24,40,39,4,15,81
60,24,64,32,4,20,85
60,24,64,38,4,17,85
67,36,66,62,4,15,76
64,28,52,49,4,14,79
59,28,48,46,4,15,89
58,24,70,46,4,20,87
47,28,48,44,4,20,82
56,20,46,42,4,14,66
56,28,40,47,4,15,75
52,24,54,44,4,13,89
53,24,42,51,4,14,81
59,28,56,46,4,16,84
65,24,60,43,4,12,93
63,24,54,29,4,12,85
58,36,48,51,4,14,79
48,20,60,47,4,10,63
48,16,62,33,4,13,55
45,24,30,42,4,14,57
54,24,66,44,4,15,67
60,24,70,42,4,9,66
41,24,0.875,38,4,8,88
50,24,68,38,4,10,81
42,20,52,42,4,12,59
53,32,50,48,4,8,71
58,28,52,39,4,10,74
46,36,70,49,4,9,86
48,28,54,43,4,11,71
42,28,76,43,4,16,69
63,36,76,45,4,15,75
50,32,68,42,4,12,80
50,28,28,42,4,11,75
56,28,58,43,4,13,70
56,24,22,41,4,16,61
41,24,66,40,4,9,57
53,36,70,45,4,10,63
64,32,64,57,4,7,76
52,36,70,50,4,16,84
62,40,80,62,4,11,76
45,32,68,43,4,14,62
42,28,76,44,4,8,74
51,44,82,50,4,19,83
45,32,38,49,4,2,74
45,24,70,49,4,9,78
57,36,72,52,4,4,84
67,44,76,58,4,8,73
48,36,72,51,4,11,70
51,32,86,46,4,12,69
42,36,82,49,4,17,81
46,24,68,29,4,5,66
41,28,82,36,4,8,64
62,32,80,37,4,12,75
47,32,70,40,4,13,65
50,24,64,33,4,15,56
65,32,70,33,4,16,58
63,28,64,36,4,14,63
43,24,42,32,4,12,64
41,20,70,34,4,11,92
52,28,72,33,4,10,72
52,20,62,32,4,7,85
46,28,50,38,4,7,93
62,36,76,38,4,13,82
42,32,74,49,4,10,88
43,36,84,44,4,9,80
63,32,84,38,4,11,88
47,28,68,30,4,15,88
56,40,86,63,4,13,75
46,36,86,53,4,15,80
62,32,80,37,4,5,85
56,36,78,40,4,10,82
56,32,74,43,4,17,68
63,32,86,37,4,19,81
45,32,78,37,4,15,79
64,32,72,47,4,14,68
47,36,82,54,4,17,94
54,40,52,60,4,2,107
58,44,94,64,4,1,95
53,40,90,58,4,-4,108
62,28,86,50,4,2,121
62,36,84,43,4,-11,111
57,32,78,41,4,-18,122
48,36,94,64,4,-1,105
51,40,62,54,4,9,107
54,36,70,40,4,7,116
47,36,76,39,4,11,119
42,36,82,43,4,4,110
57,40,94,62,4,9,95
48,36,90,47,4,-2,106
58,36,88,52,4,0,106
47,32,70,40,4,0,104
51,40,82,49,4,-1,105
41,32,88,43,4,7,106
59,32,80,41,4,-7,109
58,44,94,52,4,5,98
59,32,88,44,4,-2,106
43,36,84,49,4,-6,110
48,32,56,41,4,-9,110
57,28,62,42,4,-6,121
56,28,80,41,4,6,122
65,32,72,43,4,-8,117
42,36,80,54,4,0,121
57,36,78,58,4,-1,104
63,40,88,69,4,1,105
47,32,64,49,4,21,108
58,28,76,46,4,29,113
43,40,82,48,4,15,107
56,32,74,45,4,0,129
57,32,74,33,4,20,80
60,32,88,44,4,16,72
51,32,64,37,4,16,72
54,36,68,41,4,17,66
51,32,52,45,4,7,71
62,36,76,49,4,9,76
47,40,86,40,4,17,73
62,44,78,40,4,8,79
53,40,84,40,4,5,86
47,36,90,38,4,10,78
45,36,78,45,4,15,64
46,40,80,48,4,16,73
46,36,90,54,4,16,79
43,36,82,49,4,9,85
42,44,84,57,4,9,101
59,36,96,44,4,11,92
60,40,90,54,4,9,88
42,28,84,27,4,12,94
59,10,18,51,4,7,120
65,17,45,56,4,15,81
59,17,27,51,4,25,78
59,17,59,59,4,33,82
59,21,56,56,4,13,57
62,21,100,59,4,15,63
59,17,100,56,4,13,65
62,14,100,51,4,14,61
50,17,100,56,4,3,70
21,2,20,24,5,-142,142
27,5,18,28,5,-126,127
42,8,26,27,5,-118,123
9,2,21,31,5,-124,130
14,2,19,26,5,-136,136
1.36E-20,2,19,22,5,-136,137
2.54E-21,2,18,25,5,-122,125
1.73E-18,2,18,26,5,-164,143
7.94E-23,5,18,23,5,-154,150
9,5,24,31,5,-123,126
36,5,21,34,5,-70,131
32,5,22,30,5,-132,133
68,2,20,25,5,-136,136
2.60E-18,5,16,16,5,-150,152
6.94E-18,5,18,24,5,-148,154
30,5,18,26,5,-131,131
1.08E-19,8,20,19,5,-137,139
2.78E-17,5,18,11,5,-138,140
6.78E-21,8,21,17,5,-134,135
2.54E-21,2,19,15,5,-131,133
2.71E-20,5,15,8,5,-141,143
63,5,28,29,5,-111,122
65,5,24,22,5,-120,125
57,8,24,28,5,-136,136
19,2,17,22,5,-142,141
1.08E-19,5,16,15,5,-155,159
1.99E-23,5,17,16,5,-136,136
3.31E-24,8,16,9,5,-109,113
23,13,27,30,5,-129,130
18,8,26,29,5,-124,127
7.94E-23,11,24,24,5,-145,145
5.29E-23,8,17,9,5,-147,155
8.47E-22,5,20,16,5,-143,147
8.47E-22,8,17,19,5,-142,145
8.13E-20,5,14,13,5,-141,144
1.65E-24,5,16,15,5,-152,161
