F1,F2,F3,F4,X,Y,TARGET
100,96,100,86,3,8,1
88,100,100,83,0,0,1
77,100,100,90,3,-1,1
98,100,100,88,0,4,1
95,100,100,86,0,-1,1
88,90,100,77,0,-5,1
95,90,100,81,4,-6,1
90,96,100,84,2,-4,1
100,96,100,81,1,-10,1
97,93,100,82,4,-8,1
90,96,100,81,-2,-3,1
100,93,100,83,1,-9,1
86,96,100,81,0,-13,1
75,100,100,76,2,-11,1
76,93,100,80,1,-8,1
97,90,97,79,0,-10,1
91,96,100,78,0,-6,1
100,93,100,80,0,-9,1
93,96,100,81,0,-5,1
100,100,100,82,2,-3,1
84,93,100,79,0,-8,1
79,96,100,81,0,-9,1
72,90,100,78,2,-9,1
77,90,100,82,2,-9,1
78,93,100,82,4,-2,1
75,96,100,80,0,1,1
91,100,100,88,0,3,1
72,100,100,89,1,1,1
78,100,100,86,2,0,1
97,100,100,84,4,-1,1
72,100,100,85,1,0,1
88,100,100,89,5,3,1
84,96,100,88,5,1,1
91,93,100,86,3,0,1
83,96,100,89,4,3,1
76,100,100,88,6,-2,1
86,100,100,86,9,-1,1
81,100,100,81,8,1,1
73,100,100,87,6,-1,1
87,100,100,85,7,-4,1
100,100,100,85,9,-4,1
100,100,100,87,10,0,1
100,100,100,86,7,1,1
88,100,100,74,8,1,1
75,100,100,72,6,-3,1
86,100,100,76,6,-4,1
95,100,100,81,2,-4,1
88,100,100,73,2,-4,1
75,100,100,80,4,-5,1
87,100,100,79,5,-7,1
88,100,100,78,5,-7,1
76,100,100,77,4,-7,1
80,100,100,76,2,-5,1
77,100,100,80,10,-9,1
77,100,100,80,11,-6,1
100,100,100,79,7,-3,1
73,100,100,80,10,1,1
80,100,100,79,10,-9,1
73,100,100,80,8,-6,1
88,100,100,78,10,-7,1
79,100,100,87,8,-6,1
83,100,100,71,10,-7,1
90,100,100,78,8,-3,1
79,100,100,73,11,-12,1
79,100,100,79,10,-5,1
75,100,100,77,7,-7,1
84,100,100,79,11,-3,1
77,100,100,73,10,-7,1
84,100,100,81,9,-11,1
87,100,100,79,11,-5,1
90,100,100,78,8,-13,1
81,100,100,86,7,-8,1
83,100,100,77,7,-7,1
81,100,100,83,9,-5,1
87,96,100,83,8,-8,1
86,100,100,83,7,-5,1
75,100,100,76,4,-3,1
83,100,100,86,5,-10,1
79,100,100,76,6,0,1
83,100,100,81,4,-5,1
73,100,100,83,6,0,1
77,100,100,83,6,3,1
80,100,100,85,6,-4,1
80,100,100,76,11,-5,1
77,100,97,82,15,0,1
79,100,100,79,9,1,1
79,100,100,81,9,-2,1
81,100,100,74,6,-1,1
70,100,100,81,7,-3,1
86,100,100,81,5,-1,1
70,100,100,71,14,-4,1
73,100,100,83,14,0,1
79,100,100,81,16,-2,1
86,100,100,82,11,-5,1
93,100,100,76,9,-5,1
83,100,100,77,13,-2,1
100,100,100,79,10,-2,1
95,100,100,83,10,-3,1
83,100,100,81,10,-2,1
90,100,100,76,7,-1,1
76,100,100,77,8,-1,1
94,100,100,78,11,3,1
83,100,100,81,8,0,1
76,100,100,71,10,1,1
80,100,100,79,11,0,1
76,100,100,81,8,1,1
86,100,100,84,12,0,1
79,100,100,86,12,-4,1
91,100,100,77,8,2,1
79,100,100,82,12,2,1
72,100,100,81,11,5,1
75,93,100,80,12,2,1
75,100,100,82,14,3,1
75,100,100,83,14,3,1
75,93,100,88,13,-3,1
73,100,100,94,14,-1,1
73,100,100,84,18,0,1
87,100,100,83,11,-3,1
81,100,100,83,12,-3,1
91,100,100,83,9,-7,1
94,100,100,81,15,0,1
81,100,100,86,8,-8,1
91,100,100,84,13,-2,1
94,100,100,83,9,-4,1
73,100,100,84,7,-4,1
84,100,100,85,10,-3,1
95,100,100,88,7,-6,1
76,100,100,84,8,-4,1
80,93,97,78,7,-11,1
80,90,98,81,10,-6,1
80,90,97,84,12,-10,1
84,96,100,84,11,-3,1
77,96,100,79,8,-6,1
91,100,100,76,8,-8,1
93,93,100,79,10,-9,1
73,90,100,78,10,5,1
79,96,100,79,12,-2,1
70,96,100,84,13,-1,1
83,100,100,84,12,-5,1
73,100,100,82,14,-3,1
88,100,100,86,17,-4,1
94,100,100,84,17,-5,1
83,100,100,85,11,-2,1
83,100,100,78,10,-2,1
83,100,100,80,8,-7,1
80,96,100,73,8,-5,1
73,100,100,82,11,-4,1
83,100,100,76,7,-3,1
75,100,100,79,12,-4,1
81,100,100,84,10,-7,1
80,100,100,83,12,-7,1
87,100,100,79,9,2,1
83,96,100,81,8,-1,1
77,96,100,73,11,2,1
73,90,100,84,13,0,1
83,100,100,81,13,0,1
81,96,100,81,13,0,1
83,96,100,84,5,-6,1
81,100,100,81,11,2,1
76,100,100,78,4,-6,1
2,33,8.33E-17,4.55E-13,-158,162,2
2,39,0.25,1.42E-14,-161,163,2
5,2.50E-12,12,3,-166,161,2
9,14,20,6,-166,164,2
11,41,18,6,-163,158,2
7,1.15E-07,13,6,-170,158,2
9,8.15E-09,13,7,-168,162,2
10,37,18,9,-168,157,2
12,43,20,6,-144,162,2
13,20,0.25,11,-159,164,2
11,43,16,7,-161,158,2
9,37,1.73E-18,4,28,157,2
9,41,7,7,-151,158,2
11,43,18,9,-150,160,2
12,43,18,12,-172,161,2
11,1.03125,18,8,-170,167,2
9,41,9,9,101,154,2
10,8,12,9,-105,158,2
10,41,23,9,-167,157,2
13,8,19,11,-169,166,2
9,33,14,9,-169,160,2
11,41,20,8,-169,167,2
7,22,28,9,-169,-167,2
10,43,25,9,-167,-160,2
11,41,27,9,-167,-131,2
7,3.49E-10,18,6,-163,167,2
9,14,14,6,-162,172,2
9,39,27,6,-166,174,2
13,43,22,11,-168,165,2
11,29,29,10,-169,168,2
14,25,28,12,-169,166,2
14,8.68E-21,20,13,-166,168,2
12,43,14,13,-166,159,2
13,31,23,13,-166,167,2
13,6,24,14,-164,162,2
14,33,4,14,-166,163,2
13,43,11,15,-168,177,2
15,35,23,15,-170,164,2
17,37,14,20,-112,159,2
17,43,32,15,-168,171,2
7,1,16,10,-171,164,2
13,43,17,15,-160,156,2
17,43,18,15,-167,164,2
15,41,17,15,-163,160,2
13,39,19,14,-172,163,2
17,43,14,17,-171,170,2
9,37,18,9,-172,168,2
7,41,13,11,-111,173,2
13,43,20,15,-168,-162,2
12,41,4,11,-163,175,2
18,41,9,15,-108,166,2
18,33,11,14,-165,169,2
17,43,25,15,-170,163,2
18,35,19,18,-164,163,2
21,43,9,19,-170,163,2
22,43,24,15,-171,172,2
19,29,4.63E-23,18,-100,174,2
21,29,12,19,-172,148,2
19,6,6,12,-166,157,2
17,43,7,12,-140,167,2
14,39,19,15,171,161,2
12,27,18,11,150,149,2
18,41,24,18,159,162,2
25,43,16,15,147,159,2
18,31,14,16,-165,-159,2
17,27,19,15,-165,50,2
18,43,27,17,-169,173,2
18,27,16,16,-170,140,2
17,43,12,18,-128,171,2
20,14,25,17,-72,170,2
21,29,9,23,-165,169,2
18,18,29,18,-95,166,2
18,0.00378418,17,17,-121,162,2
18,33,9,18,11,161,2
25,43,11,20,121,167,2
19,43,4,17,-151,171,2
17,43,34,13,-138,168,2
20,43,33,17,-54,167,2
21,43,27,17,-160,169,2
21,43,29,20,-169,171,2
14,43,22,10,45,159,2
18,43,29,18,-160,171,2
10,1.43E-17,22,19,-165,167,2
21,22,34,18,-163,161,2
20,14,14,18,-141,167,2
20,0.00088501,19,20,-166,163,2
23,39,27,24,-170,163,2
