F1,F2,F3,F4,X,Y,TARGET
81,100,90,90,20,-13,1
83,100,89,89,17,-16,1
83,100,91,91,15,-15,1
81,100,94,94,13,-17,1
86,86,93,93,14,-15,1
81,81,94,94,15,-14,1
83,83,92,92,15,-18,1
86,86,93,93,15,-22,1
86,86,90,90,13,-12,1
86,86,93,93,12,-20,1
86,86,91,91,13,-15,1
83,83,91,91,13,-14,1
86,86,91,91,11,-16,1
83,83,92,92,17,-15,1
83,83,87,87,13,-16,1
78,78,88,88,14,-17,1
78,78,90,90,16,-14,1
81,81,89,89,12,-16,1
86,86,78,78,14,-17,1
83,83,89,89,17,-14,1
78,78,90,90,17,-16,1
83,83,90,90,19,-13,1
89,89,91,91,16,-17,1
78,78,90,90,14,-23,1
83,83,74,74,8,-15,1
83,83,87,87,11,-15,1
89,89,87,87,11,-16,1
81,81,90,90,8,-18,1
83,83,90,90,11,-20,1
81,81,89,89,12,-15,1
83,83,90,90,15,-15,1
83,83,89,89,10,-16,1
81,81,90,90,9,-15,1
96,96,88,88,9,-17,1
92,92,88,88,11,-20,1
89,89,76,76,10,-15,1
96,96,58,58,10,-18,1
89,89,83,83,7,-20,1
85,85,87,87,10,-16,1
89,89,91,91,7,-14,1
92,92,87,87,9,-16,1
92,92,89,89,10,-15,1
92,92,88,88,8,-18,1
82,82,88,88,9,-13,1
78,78,88,88,10,-13,1
89,89,89,89,9,-21,1
85,85,89,89,9,-17,1
82,82,90,90,10,-19,1
85,85,88,88,12,-15,1
89,89,89,89,9,-17,1
92,92,89,89,9,-18,1
85,85,90,90,11,-15,1
89,89,89,89,11,-15,1
82,82,89,89,10,-14,1
89,89,90,90,10,-12,1
85,85,90,90,11,-14,1
100,100,90,90,13,-14,1
100,100,90,90,11,-13,1
100,100,90,90,13,-11,1
100,100,88,88,9,-12,1
82,82,88,88,6,-14,1
85,85,89,89,9,-13,1
85,85,89,89,13,-14,1
89,89,88,88,12,-14,1
85,85,87,87,11,-16,1
89,89,90,90,9,-18,1
78,78,82,82,10,-14,1
85,85,87,87,9,-16,1
85,85,86,86,10,-19,1
85,85,86,86,11,-16,1
92,92,89,89,10,-14,1
85,85,89,89,10,-15,1
89,100,87,87,8,-15,1
85,100,88,88,10,-14,1
92,100,87,87,7,-16,1
92,100,88,88,8,-14,1
92,100,87,87,11,-13,1
92,100,88,88,9,-13,1
89,100,88,88,9,-13,1
89,100,90,90,12,-15,1
92,94,83,83,2,-20,1
92,75,84,84,-1,-23,1
89,97,84,84,-1,-22,1
89,98,63,63,2,-19,1
89,96,69,69,2,-15,1
92,98,71,71,6,-15,1
89,98,72,72,5,-11,1
92,98,73,73,17,-3,1
85,98,72,72,19,-2,1
89,98,76,76,18,-14,1
92,98,94,94,18,-8,1
92,97,96,96,1,-17,1
92,98,93,93,19,-14,1
96,97,100,100,18,-8,1
96,98,100,100,11,-1,1
92,97,100,100,7,-13,1
96,98,93,93,17,-15,1
96,98,100,100,14,-9,1
92,99,100,100,15,-9,1
100,99,100,100,11,-25,1
96,98,96,83,12,-18,1
96,98,88,83,14,-15,1
100,86,98,81,15,-15,1
100,97,94,86,14,-20,1
93,97,75,81,13,-15,1
93,97,97,83,12,-16,1
83,97,98,86,13,-16,1
83,97,96,86,14,-15,1
100,98,98,86,16,-20,1
96,98,98,86,13,-15,1
100,99,98,83,15,-19,1
93,98,98,86,14,-17,1
100,99,98,83,14,-16,1
100,98,98,83,15,-12,1
93,97,97,78,18,-15,1
93,97,98,78,8,-20,1
93,95,97,81,-1,-21,1
96,98,98,86,2,-13,1
80,98,97,83,0,-22,1
86,77,98,78,1,-25,1
86,83,98,83,0,-29,1
86,96,99,89,-1,-23,1
100,98,99,78,1,-22,1
100,98,98,83,0,-27,1
100,98,98,83,0,-25,1
96,97,86,89,-1,-31,1
93,98,97,81,0,-23,1
80,98,97,83,21,-12,1
86,97,97,81,21,-14,1
83,99,97,83,23,-16,1
73,98,97,83,22,-16,1
80,99,98,81,24,-9,1
80,98,98,96,18,-18,1
93,98,99,92,18,-13,1
93,98,98,89,20,-17,1
83,99,99,96,14,-23,1
73,99,98,89,20,-14,1
76,99,97,85,18,-18,1
96,100,97,89,21,-13,1
93,99,95,92,17,-14,1
96,94,98,92,17,-19,1
93,99,98,92,16,-22,1
80,94,77,82,15,-21,1
76,98,83,78,15,-20,1
83,99,96,89,15,-16,1
86,99,98,85,11,-15,1
86,97,98,82,16,-16,1
80,97,98,85,13,-13,1
80,99,97,89,14,-15,1
100,98,98,92,14,-16,1
96,98,98,85,18,-23,1
93,99,97,89,13,-7,1
86,99,99,82,21,-17,1
90,100,98,89,22,-13,1
100,100,99,85,20,-12,1
96,100,98,100,20,-10,1
93,100,98,100,19,-11,1
96,99,98,100,17,-14,1
100,100,99,100,19,-7,1
100,98,99,82,20,-9,1
3,2,6,21,163,-129,2
3,1.73E-17,7,26,162,175,2
1.43E-06,2,6,10,160,177,2
3,2,11,28,173,177,2
3,2,9,24,-172,-51,2
6,2,10,38,-172,-108,2
1.36E-12,1,10,34,-169,176,2
3,2.12E-22,9,22,-168,177,2
8.94E-08,2.17E-18,6,17,-111,-81,2
4.47E-08,4.34E-19,9,24,-165,-141,2
0.75,3.05E-05,9,25,-169,-83,2
5.59E-09,0.25,10,33,-39,171,2
3,1.36E-20,8,25,-167,-47,2
3,5.42E-19,6,22,-149,-94,2
6,2,8,36,-118,-145,2
1.5,6.78E-20,9,33,168,174,2
3,2.17E-19,9,33,147,169,2
6,2,8,32,-175,179,2
3,1,8,34,-61,-164,2
9,2,9,38,-157,-170,2
16,2,7,17,155,-103,2
12,3.39E-20,7,1.04E-17,172,-143,2
9,3.47E-18,7,17,174,177,2
9,1.39E-17,3,6,169,167,2
3,6.94E-18,9,21,156,164,2
3,2,9,31,164,164,2
6,8.88E-16,5,20,170,175,2
9,0.25,8,24,157,173,2
6,1,7,25,165,170,2
9,2.17E-19,8,28,170,176,2
16,3.05E-05,7,18,-166,157,2
12,0.25,8,20,169,174,2
1.5,0.0625,9,17,158,53,2
6,0.000976563,8,21,-166,89,2
6,2,9,24,-173,166,2
6,4.44E-16,7,15,-166,-127,2
6,2.17E-19,7,25,-165,-124,2
3,1.39E-17,8,17,-40,42,2
16,2,11,24,-168,19,2
1.5,2,7,17,-140,175,2
16,2,8,28,172,164,2
12,2,8,28,-162,-58,2
6,2,9,23,157,174,2
9,2,7,25,-80,177,2
6,1,8,24,168,174,2
9,5,6,23,-130,169,2
16,5,11,33,-100,42,2
3,5,9,21,-166,-148,2
3,2,9,32,-11,177,2
6,2,9,24,-166,-137,2
16,2,12,41,-169,-137,2
12,2,5,43,-169,-29,2
12,2,8,50,33,-56,2
19,5,10,35,-104,-46,2
3,2,11,35,-173,-90,2
3,2,9,1.19E-07,-161,177,2
9,4.34E-19,6,5.20E-18,75,176,2
9,2,9,8,-58,81,2
9,4.34E-19,7,12,-163,-58,2
6,5.55E-17,9,21,72,172,2
16,2,11,30,-84,172,2
9,1.53E-05,8,4,-164,158,2
9,0.25,8,0.000976563,168,175,2
9,2,9,0.000976563,-75,168,2
16,2,10,5.59E-09,-174,169,2
16,1,9,4.66E-10,-171,166,2
9,6.94E-18,7,1,147,174,2
19,0.03125,9,2.38E-07,-139,-86,2
12,2,10,1.86E-09,-169,-101,2
16,2,9,15,0,171,2
12,0.015625,8,13,25,-10,2
9,2,10,13,169,174,2
19,2,8,16,-170,-131,2
9,2,8,15,-165,-99,2
9,2,8,22,-169,-136,2
9,5,13,22,-168,-56,2
16,2,9,2,-158,-112,2
16,5,14,22,-166,-127,2
16,5,13,13,-170,170,2
16,2,10,11,-170,175,2
19,2,12,27,165,171,2
22,5,11,27,59,170,2
16,2.12E-22,7,3,151,-66,2
12,2,9,13,165,168,2
9,0.00390625,7,19,166,168,2
16,2.78E-17,9,10,159,155,2
16,4.44E-16,6,16,157,163,2
12,6.94E-18,6,19,166,173,2
19,2,8,15,162,172,2
16,3.47E-18,8,18,152,21,2
12,2,8,21,154,172,2
19,2,8,24,149,172,2
12,2,7,24,160,149,2
16,2,9,18,164,165,2
12,8.67E-19,6,19,158,165,2
12,6.94E-18,5,20,153,164,2
16,2,10,20,158,167,2
19,6.94E-18,4,16,157,168,2
19,1.73E-18,5,24,165,116,2
16,1,7,24,166,-130,2
16,2,8,21,165,126,2
9,0.000244141,5,21,165,-84,2
16,2,8,27,128,171,2
16,2,9,20,118,172,2
16,2,8,21,138,86,2
22,2,8,22,-75,176,2
9,1.39E-16,4,18,155,154,2
12,0.00390625,6,22,113,162,2
0.000732422,2,6,13,-170,174,2
6,2,7,18,140,172,2
12,0.03125,6,25,156,170,2
9,5,11,15,161,172,2
6,2,9,16,148,176,2
16,5,10,27,-167,-59,2
16,2,8,16,-166,-146,2
19,2,6,18,-105,-136,2
19,5,9,22,17,-134,2
32,0.000488281,9,29,131,118,2
16,2,6,21,170,-114,2
19,2,7,16,169,-148,2
16,2,9,19,-139,-136,2
19,2,5,19,-164,-145,2
80,90,98,98,-75,-141,2
22,2,8,21,-129,-137,2
9,2,7,20,173,-144,2
12,2,8,20,-118,-118,2
9,5,8,20,-140,-141,2
12,2,10,18,158,10,2
16,5,9,29,164,-121,2
22,2,7,24,160,-143,2
16,2,4,22,162,-26,2
16,1.39E-16,6,21,171,59,2
22,2,7,21,160,-61,2
16,2,9,20,171,-44,2
22,2,8,21,166,176,2
22,2,8,18,163,176,2
16,2,8,25,165,172,2
19,2,7,22,159,173,2
25,2,6,25,166,175,2
22,0.125,4,23,167,176,2
12,0.015625,5,19,143,44,2
22,2,6,24,168,172,2
16,2,8,20,-129,176,2
16,2,9,21,-132,174,2
12,2,5,15,160,-58,2
16,1.08E-19,7,13,161,175,2
6,0.03125,6,13,165,176,2
19,2.17E-19,5,21,126,-26,2
29,2.12E-22,6,20,56,-59,2
22,0.5,3,12,7,146,2
22,0.001953125,5,16,-167,159,2
12,2,4,21,-171,163,2
19,0.5,5,21,-31,164,2
25,2,5,24,-171,174,2
19,6.94E-18,5,22,-158,158,2
22,1.08E-19,4,24,-155,156,2
19,0.0625,6,19,4,159,2
16,2,12,19,-95,165,2
12,0.0625,7,19,108,-35,2
12,2,8,18,-167,18,2
44.5,2.33E-25,3.88E-26,5.69E-25,-158,-139,3
0.005859375,0.03515625,20,1.46E-22,-160,170,3
41,3.64E-27,4.44E-27,1.37E-26,-140,127,3
4.05E-05,3.64E-27,2.02E-27,3.23E-27,-157,-5,3
46,1.86E-24,3.10E-24,1.65E-24,-156,167,3
39,5.82E-26,9.69E-27,3.62E-25,-155,173,3
50,1.82E-27,5.55E-28,2.02E-27,-164,172,3
50,2.44E-19,5.42E-20,1.02E-19,-158,172,3
50,1.16E-25,4.85E-27,1.29E-26,-149,161,3
50,9.31E-25,5.17E-26,6.79E-26,-147,161,3
50,4.65E-25,7.24E-25,9.82E-25,-148,157,3
53,2.44E-19,6.64E-19,9.76E-19,-157,172,3
28,3.64E-27,5.05E-28,4.04E-28,-155,163,3
46,5.82E-26,2.83E-27,3.23E-27,-149,161,3
35,5.82E-26,1.29E-26,2.33E-25,-158,163,3
50,5.82E-26,1.01E-27,1.72E-27,-158,164,3
46,1.82E-27,1.58E-28,2.65E-28,-148,156,3
50,4.65E-25,6.46E-27,3.23E-26,-151,168,3
53,5.82E-26,1.11E-27,4.04E-28,-160,133,3
53,2.91E-26,1.21E-27,8.08E-28,-156,175,3
53,1.19E-22,6.62E-24,4.14E-24,-159,161,3
53,1.45E-26,8.08E-28,7.07E-28,-158,168,3
53,1.19E-22,2.07E-25,3.31E-24,-161,168,3
50,2.33E-25,1.55E-25,2.33E-25,-166,174,3
53,1.49E-23,1.65E-23,2.32E-23,-150,174,3
